"","logFC","logCPM","PValue","FDR"
"ENSG00000100218",1.5217361555242,3.45685395651418,1.1463924154925e-12,2.10013498360102e-10
"ENSG00000135144",1.61968327550868,2.71695517647954,1.46455557684727e-12,2.66135732363706e-10
"ENSG00000183018",1.71974047114788,2.29746722205708,1.48842175812485e-12,2.68308859806618e-10
"ENSG00000124614",-1.8596662708382,3.84376045170163,1.66816927489834e-12,2.98324271994319e-10
"ENSG00000090539",1.92137972193258,1.29503639114646,1.7346029966328e-12,3.07762278134857e-10
"ENSG00000232022",1.53110111359896,2.68835682506153,1.77728465850925e-12,3.12871525079602e-10
"ENSG00000166341",1.49596156727623,2.81675141151391,1.80956817189184e-12,3.16085268350689e-10
"ENSG00000215354",1.95939929681513,1.14309761646952,1.83829074132269e-12,3.18632348263263e-10
"ENSG00000087266",1.50893243870128,3.26560429496525,1.96616107163781e-12,3.38194713184846e-10
"ENSG00000198400",1.52175846559408,3.46714559773081,2.08089024337006e-12,3.55217423135284e-10
"ENSG00000122042",-1.8736300564231,5.93936399336592,2.1571574231863e-12,3.63364195084545e-10
"ENSG00000112972",-2.01895443574019,6.12456419775115,2.16086638003502e-12,3.63364195084545e-10
"ENSG00000085741",1.54986073514105,3.36578584082822,2.19415821910303e-12,3.66229386304064e-10
"ENSG00000101220",1.63753826764341,2.13030955137106,2.28586330594315e-12,3.78730572594242e-10
"ENSG00000163995",1.4089000686887,4.71574861230402,2.34228140505726e-12,3.8524545182595e-10
"ENSG00000204241",1.77697697042276,2.19470252234724,2.38324452417517e-12,3.8914238306695e-10
"ENSG00000133619",1.80751228643454,1.98715447061634,2.42306066690633e-12,3.92797309405758e-10
"ENSG00000227432",1.63677497581444,2.82412018477249,2.5437952752476e-12,4.09423849551101e-10
"ENSG00000113763",1.61289965585452,3.97873984070983,2.96025899388294e-12,4.73074580916059e-10
"ENSG00000020633",1.56716003922045,3.03755974102544,3.35809794816671e-12,5.30607327553641e-10
"ENSG00000120705",-1.68016424341846,4.82119272572897,3.36736554565174e-12,5.30607327553641e-10
"ENSG00000169427",1.3224457914769,3.74008749646791,4.00571543092138e-12,6.26811012534385e-10
"ENSG00000162461",2.9037235253025,-0.0427156688160203,4.8456496821869e-12,7.53013960611844e-10
"ENSG00000166710",-1.69285592044826,3.49776406480241,5.01403943398228e-12,7.73844866889882e-10
"ENSG00000144711",1.46922944753965,4.9400860931411,5.4117767723299e-12,8.29548068101425e-10
"ENSG00000278766",-1.6591904130042,2.9274875487545,5.48197451090891e-12,8.34630619285881e-10
"ENSG00000058404",1.43375505231894,4.48109331832067,5.61618875861547e-12,8.49326048979077e-10
"ENSG00000196169",1.70671295222629,3.06503825128934,5.76109671084338e-12,8.65431947902893e-10
"ENSG00000255808",1.74372135555815,1.78677327924001,5.9341916354887e-12,8.84458128284236e-10
"ENSG00000168484",1.96976352358413,0.944019983552885,5.96625551409949e-12,8.84458128284236e-10
"ENSG00000137575",-1.47365813390913,4.12636808344788,6.19468352311442e-12,9.12318979257106e-10
"ENSG00000184144",1.58018819026219,2.43975967070782,7.07216713902114e-12,1.03478663729587e-09
"ENSG00000196205",-1.93878636363272,4.44939225664772,7.4496807765872e-12,1.07392496862322e-09
"ENSG00000260139",1.99450591756162,1.06688937998562,7.48034554641696e-12,1.07392496862322e-09
"ENSG00000136286",1.80397989846055,1.54239798889239,7.48263524936073e-12,1.07392496862322e-09
"ENSG00000162924",-1.53750125488193,4.23097493127726,7.74868194851038e-12,1.10506993889737e-09
"ENSG00000005379",1.54119537834864,2.51371781956018,7.88805680199156e-12,1.11787159697658e-09
"ENSG00000250424",1.61615895550899,2.78959086128382,8.13660641322305e-12,1.14588845193222e-09
"ENSG00000214548",1.35114445219817,3.01293793919962,8.65336748192941e-12,1.21109521410134e-09
"ENSG00000185519",1.93900042243255,1.59401780466425,8.81427815286779e-12,1.22016410979544e-09
"ENSG00000155090",-1.77215395726636,3.47048262909861,8.82646562360349e-12,1.22016410979544e-09
"ENSG00000139567",1.49187641760337,2.05714530600431,9.09386892474019e-12,1.24946432000714e-09
"ENSG00000197150",1.67556109834837,2.61902503418843,1.04083668553303e-11,1.42140442637065e-09
"ENSG00000061273",1.4129958771751,3.90426905775693,1.07484937903081e-11,1.4538874081563e-09
"ENSG00000197894",-1.49359152010512,3.17235774259606,1.07752716976036e-11,1.4538874081563e-09
"ENSG00000120686",-1.6665787619091,3.21113477396222,1.13241002603658e-11,1.51884494742156e-09
"ENSG00000186510",1.90647510277253,1.71912049629515,1.19151329088469e-11,1.58866088659791e-09
"ENSG00000229370",-1.633042038377,4.38749508299462,1.21158772982779e-11,1.6059239009535e-09
"ENSG00000244067",-1.55535644947066,3.03846106744656,1.31207237361472e-11,1.71789682524679e-09
"ENSG00000196358",1.47818870564752,3.81162882373985,1.31799430459997e-11,1.71789682524679e-09
"ENSG00000170144",-1.65538159568958,4.77339741587514,1.31893733975811e-11,1.71789682524679e-09
"ENSG00000166233",-1.66448799049342,5.86063246793706,1.36113081415628e-11,1.76266440433239e-09
"ENSG00000122566",-1.43906634894892,5.73948221197351,1.42238577380521e-11,1.83146392235159e-09
