"","logFC","logCPM","PValue","FDR"
"ENSG00000277027",-1.31620739969456,3.17780025545547,2.61519576406187e-08,0.000211937892845057
"ENSG00000269900",-1.31457868210187,3.17826599621428,2.77834281519746e-08,0.000211937892845057
"ENSG00000212443",-3.34659269978615,1.67196015680142,3.24809031180164e-08,0.000211937892845057
"ENSG00000264577",-1.30172602348155,3.54561039861081,7.64715473932647e-07,0.00374232635055789
"ENSG00000275146",-1.13849425483285,1.45192686086014,1.15174434422495e-06,0.00450907910764068
"ENSG00000265735",-1.24330334094735,2.99910476853119,1.54261724689076e-06,0.00503278876798111
"ENSG00000278249",-1.55312984330082,1.42140731446654,2.47103012024931e-06,0.00604630182548502
"ENSG00000270066",-1.55312984330082,1.42140731446654,2.47103012024931e-06,0.00604630182548502
"ENSG00000259001",-1.41653531264609,4.50153044719685,2.53433303330392e-05,0.0497737331195754
"ENSG00000277209",-1.4198465341843,4.49898236173675,2.54271944416733e-05,0.0497737331195754
