"","logFC","logCPM","PValue","FDR"
"ENSG00000198242",-2.76108680006942,5.47409053031693,2.54357926142426e-15,4.14046820202499e-11
"ENSG00000183779",2.34243762163142,2.62556300380631,3.64542014617449e-15,4.14046820202499e-11
"ENSG00000177606",-3.34693418859939,3.79347723303844,1.50218852909963e-14,1.13745715423424e-10
"ENSG00000269888",-2.7387801653073,0.695738740246709,1.13652884741133e-11,5.16347785955917e-08
"ENSG00000234851",-2.7387801653073,0.695738740246709,1.13652884741133e-11,5.16347785955917e-08
"ENSG00000226377",-3.78287740281067,2.79399356297683,8.76663448688389e-11,3.31904781673424e-07
"ENSG00000154277",2.36579219687674,3.41946338733732,1.05449225213623e-10,3.42197799993237e-07
"ENSG00000204389",-3.44900946156381,4.18520341541476,1.53606263712759e-10,4.36164985812378e-07
"ENSG00000116717",-2.84269305317827,2.33573051255678,3.45718055175353e-10,8.72592371262591e-07
"ENSG00000204388",-3.31926135822168,3.9140705953902,2.2437315021853e-09,5.09686048036412e-06
"ENSG00000118503",-3.15627151967938,4.11242080036188,9.05660769839066e-09,1.79173826152901e-05
"ENSG00000278615",-1.93998565763007,0.513579331227997,9.46507269693083e-09,1.79173826152901e-05
"ENSG00000132622",1.46456871397657,2.50005965489441,1.09245573521908e-08,1.9089403447105e-05
"ENSG00000160716",1.55588956882454,0.70924151990921,1.22650773609994e-08,1.99009640951759e-05
"ENSG00000136931",1.47150083421101,2.71734441094929,1.57614934272637e-08,2.38692056462482e-05
"ENSG00000079337",1.44476191320923,2.82482526159638,1.82396544511498e-08,2.58957494070199e-05
"ENSG00000136997",1.78269848636182,3.14195890709556,2.53831130387438e-08,3.39178115169473e-05
"ENSG00000101843",-2.51602342782933,1.62878085949508,3.68410433631846e-08,4.45017213549414e-05
"ENSG00000237550",-1.6169343037386,1.62925380050897,3.72219011156844e-08,4.45017213549414e-05
"ENSG00000090534",1.68905327361983,0.494992726426834,7.75339609290107e-08,8.67616817287979e-05
"ENSG00000161970",-1.71557918137415,2.56996583953936,8.02075768755395e-08,8.67616817287979e-05
"ENSG00000229644",-3.24527721293673,0.989759244541865,1.02779066357553e-07,0.000106124057789917
"ENSG00000110700",-2.25070261983283,5.32425582833366,1.08749163966731e-07,0.000107406348202968
"ENSG00000283148",1.79306984127276,-0.150847725709773,1.38515565050389e-07,0.000131104982320193
"ENSG00000198034",-1.88905354310287,4.26735643418347,1.47052021154865e-07,0.000133617348502157
"ENSG00000123999",1.51402509824516,0.595745845613235,1.573463170239e-07,0.000137472266827496
"ENSG00000170345",-2.57079020418476,3.12994606120599,1.71936793273142e-07,0.000143132549796325
"ENSG00000149564",1.38578477839077,1.25850988973995,1.85051480246757e-07,0.000143132549796325
"ENSG00000141096",1.74467610233937,0.565799740224761,1.93445087107782e-07,0.000143132549796325
"ENSG00000180667",-2.4164781562702,1.51658282148939,1.94442168873827e-07,0.000143132549796325
"ENSG00000088827",1.41036177478366,2.26452998938113,2.06329212755968e-07,0.000143132549796325
"ENSG00000273937",-1.59166876909718,2.86757270725054,2.11574140274346e-07,0.000143132549796325
"ENSG00000000938",1.30487315599168,1.5420361591626,2.13881022788826e-07,0.000143132549796325
"ENSG00000279602",-2.23711350642093,3.08658710370832,2.14232553842008e-07,0.000143132549796325
"ENSG00000205312",1.67035455383692,0.126143803573089,2.34729734311071e-07,0.000152346304131722
"ENSG00000263809",-1.60721748123788,2.62590295398067,2.54686269685033e-07,0.000155789737571292
"ENSG00000115318",1.34279788874461,1.84187399416512,2.57665180100306e-07,0.000155789737571292
"ENSG00000140368",1.31460009863616,2.47222962425607,2.60609703632201e-07,0.000155789737571292
"ENSG00000160808",1.46216393816536,2.09359512416978,2.69613080284863e-07,0.000157039249532075
"ENSG00000099957",1.46584073366655,1.68214157840912,3.03893999024252e-07,0.000172581402045873
"ENSG00000171421",-1.78571066625063,1.46978969198284,3.17129473552402e-07,0.00017476314656222
"ENSG00000230202",-1.95047755196472,0.695614880058998,3.23122563638548e-07,0.00017476314656222
"ENSG00000276197",-1.58552663156583,3.06541571080258,3.30889585987607e-07,0.000174802042681267
"ENSG00000249870",-1.88792709640764,3.86235900727939,3.75698135885781e-07,0.000193962701245032
"ENSG00000232396",1.55392179886383,1.28504201140843,4.36282296059301e-07,0.000220235303050735
"ENSG00000004399",1.29229963341363,3.92378238742233,4.60576014711062e-07,0.00022685725646639
"ENSG00000120129",-2.21266936171853,1.75297321493105,4.69373615685874e-07,0.00022685725646639
"ENSG00000182218",1.3249147193644,2.40161059681556,4.88768323438718e-07,0.000231309609067373
"ENSG00000198933",1.30672155715246,3.24094212948864,5.43812271993689e-07,0.000252106930012421
"ENSG00000237159",1.58192001638317,0.279729160333329,5.77343820822945e-07,0.00026229884467628
"ENSG00000274376",1.30899799411123,2.32594250749848,5.97409693881017e-07,0.000266093306003945
"ENSG00000162512",1.24812566385409,2.10595981368861,6.10371845427664e-07,0.000266229963267706
"ENSG00000264577",-1.97728788411341,2.48260165547432,6.21156367898768e-07,0.000266229963267706
"ENSG00000159640",1.31315509517426,2.12869851104469,6.47346674830594e-07,0.000272317167878737
