,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7,99.24779698,-1.602177124,0.963876214,-1.662222909,0.096468088,0.940364793
15,12.87386534,-1.635031723,1.105157895,-1.479455317,0.139018665,0.940364793
22,14.68052241,-1.767696974,1.102968235,-1.602672605,0.109006955,0.940364793
24,55.51748565,-1.818317394,1.033388725,-1.759567672,0.078481137,0.940364793
28,27.23437319,-1.646267704,1.07154618,-1.536347882,0.124453082,0.940364793
34,42.50836516,-2.501113936,1.087648147,-2.299561621,0.021473069,0.940364793
38,157.9911107,-0.85215844,0.750177509,-1.135942401,0.255980671,0.940364793
41,20.38482914,-1.627849476,1.093805159,-1.488244468,0.136686434,0.940364793
49,15.96163217,-1.316457247,1.090467176,-1.207241516,0.227339146,0.940364793
56,8.494190039,-1.205518294,1.105125664,-1.090842728,0.275342092,0.940364793
60,25.95296254,1.097547187,0.914286674,1.200440975,0.229968124,0.940364793
73,19.8688917,-1.521085495,1.093099875,-1.391533866,0.164063598,0.940364793
82,22.69694076,-1.69777369,1.092680538,-1.553769497,0.120239409,0.940364793
87,15.60661332,1.153950861,0.970278451,1.18929866,0.234322163,0.940364793
92,9.506796531,-1.319352489,1.104332199,-1.194706167,0.232201852,0.940364793
93,17.94220117,-1.967824529,1.103330261,-1.78353173,0.074499788,0.940364793
98,21.11174871,-1.103703023,1.074467032,-1.027209761,0.304321703,0.940364793
102,15.41720828,2.046706326,0.97143883,2.106881323,0.035127868,0.940364793
103,14.38569406,-1.746496585,1.103115278,-1.583240319,0.1133667,0.940364793
118,11.70196473,-1.506121167,1.104157233,-1.364045918,0.172553114,0.940364793
121,20.2357669,1.117707716,0.944249416,1.183699664,0.236531972,0.940364793
123,44.04787706,-1.270924963,1.006011833,-1.263330034,0.206470597,0.940364793
129,36.47390423,-2.270760802,1.091753021,-2.079921702,0.037532715,0.940364793
155,14.5601308,-1.198257117,1.091574354,-1.097732933,0.272321125,0.940364793
158,29.3434742,-2.074591165,1.087201665,-1.908193514,0.05636621,0.940364793
160,12.41965108,1.728350704,0.983993928,1.756464806,0.079009076,0.940364793
164,19.91613511,-2.08058716,1.102425941,-1.887280662,0.059122586,0.940364793
165,24.99925209,1.050588336,0.91585438,1.147112858,0.25133498,0.940364793
169,14.1050171,-1.667789843,1.110679837,-1.501593698,0.133202072,0.940364793
174,9.077150516,-1.270134747,1.104328793,-1.150141838,0.250085457,0.940364793
183,24.57462976,2.001370292,0.801771269,2.496186096,0.012553672,0.940364793
188,22.87861073,-1.778278362,1.087414961,-1.63532637,0.101980648,0.940364793
189,8.594874643,-1.216801094,1.104799824,-1.10137698,0.27073262,0.940364793
193,23.61803464,-1.270222573,1.075598047,-1.180945407,0.237624412,0.940364793
203,14.42020913,-1.187961397,1.09337549,-1.086508165,0.27725423,0.940364793
211,25.69340362,-1.917362294,1.089469915,-1.759903847,0.078424111,0.940364793
213,19.72341887,-1.595951662,1.090567784,-1.463413541,0.143354256,0.940364793
221,28.84371602,1.197306116,0.85762315,1.396074856,0.162691955,0.940364793
232,16.34443998,1.069415064,0.961981558,1.111679381,0.266276028,0.940364793
250,9.124301494,-1.273168733,1.104810192,-1.152386847,0.249162144,0.940364793
258,10.0709787,-1.371045599,1.103634816,-1.242300061,0.214125873,0.940364793
260,39.15893455,1.235242509,0.856042381,1.442968871,0.14902924,0.940364793
261,27.03246809,-1.319765214,1.065169077,-1.239019459,0.215338292,0.940364793
263,17.06516589,-1.410044417,1.089682313,-1.293995874,0.195666846,0.940364793
267,14.09739815,-1.152399113,1.092790443,-1.05454721,0.291632458,0.940364793
269,23.22896398,-2.242887154,1.103311627,-2.032868229,0.042065838,0.940364793
271,54.01765614,1.15398523,0.731420051,1.57773256,0.114627063,0.940364793
282,24.53734244,-1.496310782,1.07237703,-1.395321553,0.162918896,0.940364793
285,8.123166424,-1.147732031,1.112512057,-1.031658061,0.302232331,0.940364793
287,38.2140343,-1.981069167,1.068534832,-1.85400523,0.063738412,0.940364793
291,15.51905993,-1.179102088,1.096390065,-1.075440325,0.282177636,0.940364793
292,16.70290626,-1.280941614,1.094711347,-1.170118148,0.241953426,0.940364793
298,10.17705807,-1.391441597,1.105770081,-1.258346216,0.208266574,0.940364793
302,14.94040983,-1.231294051,1.09140876,-1.128169478,0.259248351,0.940364793
305,22.82295384,1.348295125,0.916376875,1.471332552,0.141201204,0.940364793
311,15.2846027,-1.23766612,1.091249162,-1.134173719,0.256721686,0.940364793
315,9.430019743,-1.311736941,1.107529532,-1.184381006,0.236262276,0.940364793
318,18.42057348,1.394584328,0.939077824,1.485057247,0.13752866,0.940364793
319,0.652197003,1.176903866,1.152597818,1.021088056,0.307212721,0.940364793
323,12.79425331,-1.626043419,1.1036371,-1.473349727,0.140656759,0.940364793
324,43.96541441,1.038980828,0.816174633,1.272988386,0.203022163,0.940364793
326,14.33610335,-1.137198352,1.093752441,-1.039721887,0.298469129,0.940364793
334,10.60342032,-1.425186581,1.103271395,-1.291782409,0.196432509,0.940364793
336,30.81187891,-1.815263029,1.071954487,-1.693414274,0.09037664,0.940364793
338,6.512293489,1.275868978,1.110999955,1.148396966,0.250804725,0.940364793
339,9.678707429,-1.335148227,1.108733617,-1.204210107,0.22850838,0.940364793
346,29.60870141,-1.764576968,1.073045831,-1.644456291,0.100081986,0.940364793
353,14.88169105,-1.21105807,1.090823201,-1.110223974,0.266902524,0.940364793
364,24.93217269,-1.504981321,1.072897365,-1.402726271,0.16069848,0.940364793
377,22.34330773,-1.677185418,1.093217568,-1.534173495,0.124986976,0.940364793
380,8.442309332,-1.177305646,1.104257261,-1.0661516,0.286355117,0.940364793
381,15.20155972,-1.126608136,1.095474829,-1.02841992,0.303752342,0.940364793
385,28.56103564,1.207492985,0.844697905,1.429496838,0.152861483,0.940364793
386,36.5157838,-1.569235088,1.052735889,-1.49062562,0.136059814,0.940364793
