"number","logFC","logCPM","PValue","FDR","GeneID"
"1116",0.167677096747144,8.4888256927319,0.130865062354505,1,"thrB"
"1118",-0.120577722141771,11.1816603931931,0.46381995578404,1,"hom"
"1120",0.0115354519353845,10.7621180467798,0.816081659412102,1,"lmo2550"
"1123",0.0254292860471947,11.2913903380883,0.943545788553404,1,"lmo2555"
"1125",0.141127445881528,9.80947828158413,0.13239582109311,1,"lmo2562"
"1128",-0.0246858283980312,10.6582540180287,0.790675364788724,1,"lmo2573"
"1130",-0.0858461740839149,10.2748823474025,0.281876057092095,1,"lmo2578"
"1131",-0.11972147645225,8.99093930103887,0.522346436224221,1,"lmo2579"
"1132",-0.194721535083114,8.45624625082078,0.374214806211019,1,"lmo2580"
"1133",-0.0214271382599265,10.7204250229092,0.982814739072652,1,"lmo2581"
"1135",-0.0137014953625491,10.1198629567087,0.85523601967942,1,"lmo2583"
"1137",0.223627355093964,8.08754584784714,0.0439560134561814,1,"lmo2585"
"1138",-0.169520496232823,12.2262776798218,0.456381392789473,1,"lmo2586"
"1142",-0.0106252930182147,10.4606105752813,0.984906346173972,1,"lmo2601"
"1144",0.0686485936089674,12.1120561588302,0.932454643785429,1,"rplO"
"1146",0.0213048339489849,10.7002970501919,0.983326626609327,1,"rpmD"
"1147",0.199968665232545,14.0020833629598,0.825132819818684,1,"rpsE"
"1150",-0.0916329885533049,11.8842383996773,0.904956423604833,1,"rplV"
"1152",0.204882369645205,11.4826542311677,0.716212836680108,1,"rplD"
"1154",0.0643136165878538,8.28265690012335,0.342947118106438,1,"lmo2645"
"1156",-0.0895249729367732,10.0388770534069,0.189597991970005,1,"lmo2647"
"1158",-0.125495782158746,10.3841857232913,0.200247085980847,1,"lmo2648"
"1159",-0.126809302038099,9.88612488252742,0.032756137441974,1,"lmo2651"
"116",0.0664900395604948,7.57789541222425,0.833138255135205,1,"nusG"
"1161",0.0863973069365618,8.33781835786714,0.943679672691905,1,"lmo2659"
