"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000204389",-2.86174591371554,3.17584659512085,-14.4723068399415,9.49721035634502e-10,1.43368693545621e-05,12.2809369941404
"ENSG00000177606",-3.36432011306812,3.17864197107008,-14.1507082098084,1.27252202144074e-09,1.43368693545621e-05,12.0367871254652
"ENSG00000204388",-2.70994124588061,2.9501452230209,-13.4181831777792,2.53412588094182e-09,1.9033819491754e-05,11.4535058787011
"ENSG00000229644",-2.98767399273937,0.555607648262514,-12.1486945666146,9.06542422617982e-09,4.21490036679915e-05,10.3449977660738
"ENSG00000198242",-3.49448091615453,5.39545586666919,-12.1189466342174,9.35272792526328e-09,4.21490036679915e-05,10.3174183470168
"ENSG00000101843",-2.59333809563099,1.4227992088019,-11.3992564361524,2.0301170400653e-08,7.62410454396525e-05,9.62601321502253
"ENSG00000180667",-2.29140201811046,1.22368011879925,-10.9206521242763,3.47665986698856e-08,0.000111913681118362,9.13925416086782
"ENSG00000118503",-2.92284738988934,3.41938180343098,-10.6506359997952,4.74954031704101e-08,0.000131007586276118,8.85457974076958
"ENSG00000105835",-2.29103673356256,4.72862504923367,-10.5678932349081,5.23262892861608e-08,0.000131007586276118,8.76584558161507
"ENSG00000226377",-3.50115431723701,1.93017816719553,-10.3492934816706,6.77846729315977e-08,0.000152739203516769,8.52795739447068
"ENSG00000037280",1.92945830128643,3.21639251442713,10.160483418068,8.50625979163785e-08,0.000167337755593488,8.31837052514045
"ENSG00000269888",-3.30581968381366,0.774822829580064,-9.98935735138351,1.04797961338854e-07,0.000167337755593488,8.12504327861498
"ENSG00000234851",-3.30581968381366,0.774822829580064,-9.98935735138351,1.04797961338854e-07,0.000167337755593488,8.12504327861498
"ENSG00000110700",-2.61914140153159,5.15184691609968,-9.8697663680685,1.21449023363084e-07,0.000167337755593488,7.98799961585391
"ENSG00000198034",-2.05859613982333,4.16138557275412,-9.83719392475255,1.26456179531281e-07,0.000167337755593488,7.95039406550046
"ENSG00000135535",-2.02558607222106,5.47647719244698,-9.78208708012506,1.35433643286217e-07,0.000167337755593488,7.88649737538915
"ENSG00000136931",1.99188825467916,2.26453689624492,9.7806675482735,1.35673661666638e-07,0.000167337755593488,7.88484684284113
"ENSG00000197558",1.83583722146727,3.74083811994835,9.73918571497118,1.42890949488082e-07,0.000167337755593488,7.83651276438541
"ENSG00000135486",-2.16528584768365,5.10776414670181,-9.72004505048361,1.46357725527924e-07,0.000167337755593488,7.81414372262735
"ENSG00000264577",-3.29700679354156,2.935876161363,-9.70831248728217,1.48526832284639e-07,0.000167337755593488,7.80041143101125
"ENSG00000132622",1.96952865052965,2.06528767737016,9.4783414604056,1.98719514616558e-07,0.000204845377175274,7.52801333014161
"ENSG00000183742",-2.39158905389798,6.37024780175411,-9.43865836871716,2.09069849323011e-07,0.000204845377175274,7.48038074769938
"ENSG00000145632",-2.04213010307452,1.46216558146227,-9.43858006415276,2.09090830117219e-07,0.000204845377175274,7.48028657214558
"ENSG00000126524",-1.80043436092906,2.76857678708006,-9.39228331870438,2.21895811387101e-07,0.000208332429916065,7.42447851779893
"ENSG00000189266",-2.30608399538406,2.91610676547798,-9.28999608642061,2.53233474609924e-07,0.000226133613996675,7.30026785763106
"ENSG00000142676",-2.07687748168795,3.63529833124266,-9.26170201517744,2.62708402396514e-07,0.000226133613996675,7.26568697287966
"ENSG00000279602",-2.3314746968746,2.87049644382837,-9.23792163535934,2.70962924506733e-07,0.000226133613996675,7.2365477083723
"ENSG00000055118",1.84753603480137,2.79264595815537,9.15178978751334,3.03242086207782e-07,0.000229454428176754,7.13042994324764
"ENSG00000154277",2.10090879888935,3.13351119988797,9.14516509079633,3.05888398408876e-07,0.000229454428176754,7.12223050307508
"ENSG00000278615",-2.51229075086297,0.80102155193991,-9.1401867471416,3.07893181652577e-07,0.000229454428176754,7.11606522421551
"ENSG00000092841",-1.80268966312712,2.86322880385029,-9.12118527075902,3.15674223293808e-07,0.000229454428176754,7.09250544245253
"ENSG00000196352",-1.88010369912107,4.93275329044649,-9.09419624871027,3.27086841332002e-07,0.000230320243616687,7.05896560791256
"ENSG00000004399",1.8219727765431,3.51787221845282,9.03859944860953,3.51999574096993e-07,0.000240351709185683,6.98959078817097
"ENSG00000170345",-2.80490995347842,2.85124787299655,-8.98771521094165,3.76569264104691e-07,0.000249565742002089,6.9257602701878
"ENSG00000072195",1.79224693932519,3.63750935512742,8.94800664573886,3.9700493716525e-07,0.000255409888698389,6.87572447778412
"ENSG00000137877",1.94968662007122,2.89149129270132,8.92371972369482,4.10081255108265e-07,0.000255409888698389,6.84502380188924
"ENSG00000249870",-2.31693464359161,3.92073965248697,-8.90692175168863,4.1939226387256e-07,0.000255409888698389,6.82374644111399
"ENSG00000116717",-2.51855916266777,1.76973851232265,-8.88091051211851,4.34255283202385e-07,0.000257501955168404,6.79072889308279
"ENSG00000187109",-1.61484630754539,4.90289406132738,-8.8424614293828,4.57257385526998e-07,0.000264189247899483,6.74176683957258
