GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
lmo0704,0,0,0,642.33,63.5,255.5,37,13.5,294.83,285.83,116.33,53.17,208.33,340.17,121,0,0,0,0
lmo0705,1,0,0,2113.33,209.5,864.5,104,47.5,953.83,935.5,415.33,158.17,702.83,1106,368,1,0,0,0
lmo0706,0,0,0,1365.83,117,556.5,78.5,34.5,600,529.5,225,90.5,443,609.33,190,1,0,0,0
lmo0707,0,0,0,2150.17,181.5,861.5,109.5,56.5,974,877.67,322.83,130.5,682,1020.83,334,0,2,1,0
lmo0708,0,0,0,854.67,57,352,46,27,372,348,147.5,50,241.5,349.5,136.5,0,0,0,1
lmo0709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0710,0,0,0,1105.33,83.5,458,71.5,11.5,485,474,180,80.5,365,458,172,0,0,0,0
lmo0711,0,0,0,938,80,342,32,10.5,381.5,345.67,167.5,64.5,262.5,442,137.5,1,0,0,1
lmo0713,0,0,0,3551,306.5,1496,201,85,1665,1467.5,627,248,1135,1748,587,0,1,0,1
lmo0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0717,0,0,0,1292,107.5,502.5,85,28,589,558,241.5,105.5,371,612.5,203.5,0,0,0,1
lmo0718,0,0,0,1634.5,120.5,599.17,82.67,36.5,630.17,619.17,246.17,112.33,477,700.83,224.33,0,0,0,1
lmo0718,0,0,0,151,11.5,59.67,8.17,4,45.67,48.17,22.17,5.83,35.5,46.33,21.33,0,0,0,0
lmo0719,0,0,0,931,71.5,320.67,39.17,32,388.17,341.17,154.67,64.83,277.5,351.33,131.83,0,0,0,0
lmo0720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0720,0,0,0,356.5,27,141,22,9.5,149,149.5,70.5,33.5,110,195,58,0,2,0,1
lmo0723,0,0,0,3154,283,1256.5,180.5,84,1414,1214.5,536,244,1036,1575.5,508.5,2,0,0,1
lmo0724,0,0,0,1176.5,114,532.5,70.5,24.5,503.5,552.5,231.5,96,394.5,572.5,199,0,0,0,0.5
lmo0724,0,0,0,192.5,24,84,13,2.5,75.5,77,32.5,13,73.5,121,27.5,0,0,0,0.5
lmo0729,0,0,0,995,79,381,45,24.5,405,394.5,181,59.5,303.5,443,137,0,1,0,0
lmo0730,0,0,0,976,57,288,44,17.5,383,321.5,130,45.5,268.5,387,158,0,0,0,1
lmo0735,0,0,0,1525.5,111.5,551,93,34,614.5,595.5,221,90.5,495,710.5,269.5,0,1,1,0
lmo0736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0737,0,1,0,2023.5,125.5,822,103,58,887.5,775.5,374,129.5,630,881.5,367.5,1,2,0,0
lmo0741,0,0,0,1159,82,368,63,31,440,427,169,80,351,479,179,2,2,0,0
lmo0742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0748,0,0,0,928,69,285,57,20,367,332,134,66,278,334,134,1,0,0,0
lmo0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0755,0,0,0,1323,114,446,72,48,560,529,216,109,464,652,269,0,1,2,0
lmo0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0757,0,0,0,182,23,84,10,0,100.5,87,42.5,13.5,75.5,107.5,42,0,0,0,0
lmo0758,0,0,0,1290,116,500,56,19,515.5,504,218.5,98.5,456.5,700.5,253,0,0,0,0
lmo0759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0761,0,0,0,914,101.5,378,54,21.5,424.5,353.5,178,67.5,323,492,183,2,1,0,0
lmo0760,0,0,0,52,4.5,23,4,2.5,28.5,25.5,18,4.5,20,49,13,0,0,0,0
lmo0763,0,0,0,1579,137,650,89,72,723,633,316,147,528,845,283,1,1,0,1
lmo0764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0766,0,0,0,1985.5,146.5,747,97.5,48,878.5,799.5,338,125.5,585.5,847,341,1,2,0,1
lmo0767,0,0,0,1706.5,146,642,86.5,38,691.5,650,239.5,97,459,689.5,255.5,0,0,0,0
lmo0768,0,0,0,2503,191.5,872,151,59,940,956.5,352.5,149.5,762.5,1076.5,420.5,3,3,1,1
lmo0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0784,0,0,0,1032,90,444,56,49,495,415,210,114,397,486,180,0,1,0,0
lmo0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0807,1,0,0,2363,180,889,126,63,889,914,339,155,711,1115,408,2,0,0,0
lmo0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0827,0,0,0,1223,80,412,67,20,443,356,149,52,325,467,182,1,0,0,0
lmo0828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0834,0,0,0,1578,114,509,86,35,532,513,206,85,518,703,233,0,0,0,0
lmo0835,0,0,0,443,47,140,25,14,195,181,76,36,134,214,69,0,1,0,0
lmo0847,0,0,0,2778,205,1121,156,84,1248,1059,472,225,840,1244,475,0,2,0,0
lmo0848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0848,0,0,0,448,37,171,15,3,189,157,73,27,132,178,79,1,0,0,0
lmo0853,0,0,0,1407,111,571,94,18,565,525,215,81,417,585,228,0,0,0,0
lmo0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddlA,0,0,0,199,17,92,13.5,1.5,79,71,37,17,53.5,88,40,0,0,0.5,1
murF,0,0,0,2106,177,850,99.5,61.5,979,849,393,164,661.5,1039,406,1,2,0.5,1
lmo0859,0,0,0,2468,202,922.5,137,62,1065,977,404,175,782,1151,397,1,0,0,1
lmo0860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0862,0,0,0,2738,225,1205.5,160,64,1207,1124,483,232,912,1268,469,0,2,0,0
lmo0863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0864,0,0,0,1844,140,702,99,35,817,664,324,147,567,850,299,1,0,0,0
lmo0865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0865,0,0,0,376,36,144,21,6,182,121,52,24,161,190,69,0,0,0,0
lmo0874,0,0,0,836,76,297,49,27,383,310,147,63,304,412,168,1,0,0,0
lmo0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0877,0,0,0,1208,111,482,72,42,586,520,213,74,414,651,234,0,1,0,0
lmo0878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0882,0,0,0,908,92,415,69,12,390,414,165,78,349,499,150,1,0,0,1
lmo0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0884,0,0,0,2211,174,894,133,66,973,947,428,184,764,1106,381,3,1,0,0
lmo0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0887,0,0,0,778,75,300,33,27,361.5,337.5,135,68,272.5,357,137,0,1,0,0
lmo0888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RsbR,0,0,0,1809,158,697,100,50,788.5,692.5,299,156,566.5,800,347,2,1,1,1
rsbS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rsbT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rsbU,0,0,0,2166.5,166,816.5,99.5,74.5,884.5,792.5,321,189.5,673.5,937.5,368.5,0,2,0,0.5
rsbV,0,0,0,903.5,67,425.5,39.5,38.5,401.5,378.5,157,83.5,338.5,433.5,188.5,1,0,0,0.5
rsbW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sigB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rsbX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0898,0,0,0,3064.5,281,1328,144,70,1331,1289,554,229.5,1016,1564.5,554.5,3,1,0,1
lmo0899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0898,0,0,0,150.5,14,70,11,2,75,59,22,17.5,49,83.5,27.5,0,0,0,0
lmo0909,0,0,0,971,79,346,63,19,376,399,149,55,316,432,155,0,0,0,1
lmo0910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0914,0,0,0,757,69,285,32,14,354,286,127,56,252.5,316,129,0,0,0,0
lmo0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0916,0,0,0,719,55,271.5,29,12.5,301.5,324.5,117.5,38,228,335.5,137,0,0,0,0
lmo0917,0,0,0,2399,225,902.5,116,47.5,907.5,860.5,411.5,179,749.5,1141.5,383,0,0,0,1
lmo0923,0,0,0,1027,115,419,75,22,463,394,186,81,370,525,177,1,0,0,0
lmo0925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0935,0,0,0,944,98.5,334,45.5,30,397.5,357.5,184.5,61.5,292,503.5,166,0.5,0,0,0
lmo0936,0,0,0,1152,111,431.83,64.67,39,537.33,445.33,221.33,90.17,398.83,556.17,203,0.5,0,0,1
lmo0936,0,0,0,187.5,14,68.83,6.67,3.5,79.83,73.33,36.83,9.17,56.33,75.67,25,0,0,0,0
lmo0938,0,0,0,974.5,65.5,418.83,56.67,25.5,436.33,378.33,190.33,73.67,294.83,461.67,161.5,1,0,0,1
lmo0939,0,0,0,1552,111,561.5,86.5,30,666,592.5,221,106.5,448,647,258.5,1,2,0,0
lmo0941,0,0,0,1710,133,653,100,42,755.5,701.5,300,126,519,832,282,3,1,0,0
lmo0942,0,0,0,2823,207,1054,144,91,1128.5,1053.5,492,177,864,1247,467,0,1,0,2
lmo0945,0,1,0,2003.5,174.5,733.5,89.5,34.5,880,781,324,133.5,696,989,320,0,1,0,0
lmo0946,0,0,0,636.5,54.5,207.5,28.5,11.5,217,219,88,39.5,191.5,309,93,0,2,0,0
lmo0948,0,0,0,1597,114,607,72,34,743,630,218,121,539.5,702,243,3,0,1,0
lmo0947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0960,0,0,0,1417,111,566,83.5,34,604,629.5,265.5,120.5,438.5,711.5,262.5,0,1,0,0
lmo0961,0,0,0,1959,146,875,121.5,61,881,796.5,334.5,217.5,656.5,994.5,377.5,2,0,0,1
dltC,0,0,0,960,145,444,65,184,576,560,248,328,786,389,152,2,2,0,0
dltD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dltA,0,0,0,3730,498,1792,298,720,2210,1978,1034,870,1880,1626,654,3,2,0,2
dltB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0979,0,0,0,1479,120,566,80,39,640,573.5,274,113,437,689,259,1,0,0,0
lmo0980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0980,0,0,0,286,22,112,10,3,111,106.5,66,20,106,166,40,0,0,0,0
lmo0982,0,0,0,1646.5,153.17,669.5,105.5,32.5,809,653.33,234,91.33,529.42,771.5,299,2,0,0,1
lmo0983,0,0,0,737.33,63.5,267,32.17,14.83,279.5,256,110,46.17,242.42,354,121,0,0,0,0
lmo0983,0,0,0,106.83,14.17,37,7.67,2.83,32.5,36.67,17.5,6.33,27.08,40,12.5,0,0,0,0
lmo0984,0,0,1,993.33,97.17,348.5,53.67,29.83,335,399,139.5,77.17,282.08,462.5,135.5,0,1,0,1
lmo0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptsH,0,0,0,935,87,332,33,30,377,299,158,63,333,369,147,0,0,0,0
lmo1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1003,0,0,0,326.5,33,114,24,8,153,102,55.5,21.5,94.5,125.5,49.5,0,0,0,0
lmo1004,0,0,0,2463,171.5,944,159.5,54,1007.5,869,364,155,649,950,334.5,1,0,0,0
lmo1005,0,0,0,1529.5,129.5,608.5,85,38.5,749.5,562.5,274,119.5,432.5,669,241.5,1,1,0,0
lmo1005,0,0,0,175,14,65.5,5.5,3.5,84,56.5,28.5,18,51,77.5,29.5,0,0,0,0
lmo1009,0,0,0,1116,115,422,56,17,449,398,190,75,413,529,189,0,0,0,0
lmo1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbuA,0,0,0,2069,209,753,112,54,913,816,344,171,670,974,403,0,0,0,0
gbuB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbuC,0,0,0,1774.5,161.5,700,111,63,843,666.5,297.5,131,554,826.5,353,1,2,0,2
gbuC,0,0,0,252.5,23.5,76,6,5,102,102.5,29.5,13,71,105.5,43,0,0,0,0
lmo1020,0,0,0,1279,130,566,60,39,661,550,220,110,448,680,202,1,0,0,0
lmo1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1024,1,0,0,1927,154,760,104.5,40,801,745,250,107,554,841,317,1,1,0,0
lmo1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1025,0,0,0,402,28,158,23.5,7,159,135,80,26,129,193,68,0,0,0,1
lmo1028,0,0,0,921,117,463,82,111,291,366,198,726,756,389,115,1,0,0,0
lmo1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1032,0,0,0,1494,129,627,71,36,640,610,272,87,513,732,292,0,0,0,0
lmo1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1037,0,0,1,1621,118,501,79.5,34.5,594,530,242.5,121.5,472.5,691,249.5,0,0,1,0
lmo1038,0,0,0,232,19.5,86,7.5,5.5,80,107,37.5,9.5,69.5,75,42.5,0,0,0,0
lmo1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1040,0,0,0,1321.5,103.5,510,84,34,592,494,233,110,439,538,247,1,0,0,0
lmo1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1042,0,0,0,1955.5,182,794,112,47,873,864,356,142,618,975,334,1,0,0,0
lmo1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1046,0,0,0,964,91,372,57,30,400,398,176,73,317,480,186,0,3,0,0
pdhA,0,0,0,2059.5,193,887,140,138,961,929,434,268,794,997,362,2,0,0,2
PdhB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdhC,0,0,0,2960.5,267,1229,181,166,1466,1312,589,357,1018,1389,560,1,6,0,0
PdhD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1057,0,0,0,1764,171,661,92,97,789.5,718,323,227,712,802,318,0,0,0,0
lmo1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1060,0,0,0,1586,120,513,81,27,602.5,533,235,126,503,670,262,0,1,0,1
lmo1061,0,0,0,268.5,20,75.5,19.5,4,76,86.5,33,14.5,74.5,107.5,33,0,1,0,0
lmo1062,0,0,0,2931.5,256.5,1029.5,143,49,1154,1010.83,467.5,180,890,1218.5,450,4,0,0,1
lmo1063,0,0,0,1187,94,366.5,53,23,405,414.83,150.5,67,330.5,466.5,177.5,1,0,1,0
lmo1063,0,0,0,231,15.5,69.5,14.5,2,93,63.83,22,18.5,77,86.5,29.5,0,0,0,0
lmo1074,0,0,0,1786.5,111,585.5,86.5,31,622,571,231.5,119,438.83,608,237.5,0,2,0,0
lmo1075,0,0,0,1772.5,138,552.5,92.5,35.5,722.5,624,265,124,546.33,714,284,0,0,0,0
lmo1075,0,0,0,196,12,68,7,9.5,70.5,70,37.5,14,70.83,74,40.5,0,0,0,0
lmo1082,1,0,0,1488,132,512,68,60,612,592,220,149,520,653,272,0,1,0,0
lmo1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1084,0,0,0,446,42,147,18,6,158,113,61,21,123,139,77,0,0,0,1
lmo1086,0,0,0,1459,126,474,65,39,514,508,211,105,464.5,609,236,1,1,0,1
lmo1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagB,0,0,0,2379,195,719,108,51,895,765,335,122,714.5,970,410,1,1,0,0
tagD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1092,0,0,0,2204,157,830.5,100.5,59.5,957.5,910.5,382,165,713.83,1070.5,383,1,2,0,0
lmo1093,0,0,0,1100.92,109.75,437,72.25,46.25,513.25,441.92,183,82.33,350.92,562.75,210.92,0,0.5,0,0
lmo1094,0,0,0,437.58,37.75,188.17,19.08,14.25,195.08,159.42,91.5,38.17,127.25,202.42,83.25,0,0.5,0,0
lmo1094,0,0,0,68.08,5.75,30.67,2.58,3.25,36.58,31.75,11.5,9.33,16.75,44.75,16.75,0,0,0,0
lmo1095,0,0,0,681.42,53.75,311.67,44.58,28.75,327.58,289.42,127,47.17,222.25,393.58,125.08,0,0,0,0
lmo1099,0,0,0,1262,78,377,62,20,362,431,201,77,396,489,198,0,1,0,1
lmo1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1107,0,0,0,926.5,64,325,59.5,13.5,365,355.5,168,56,278,431,145,0,0,0,0
lmo1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1108,0,0,0,1127,103,447.5,60.5,36.5,498,481,210,81.5,362,538,187.5,0,0,0,0
lmo1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1111,0,0,0,2187.5,208,871.5,110,51,1016,846.5,366,159.5,643,999,372.5,1,2,0,1
lmo1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1119,0,0,0,2028,154,554,96.5,47,612,643,264,128,621.5,624,275.5,0,0,0,1
lmo1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1120,0,0,0,937.5,73.5,310.5,40.5,19,314,344,116.5,59,295.5,303,137,1,1,0,2
lmo1121,0,0,0,971,70.5,261.5,48,16,305.5,317.5,121,61.5,310,336,127.5,2,1,0,0
lmo1123,0,0,0,1346.5,102,404,89,29,443.5,483.5,185.5,77.5,437,506,201,0,0,0,2
lmo1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1126,0,0,0,1603,127,542,97,47,570,574,240,139,456,640,239,0,0,0,0
lmo1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1130,0,0,0,1507,116,543,86.5,20,606,602.5,206,103.5,480.5,577.5,258,0,1,0,0
lmo1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1131,0,0,0,3711,304,1412,200.5,79,1606,1449.5,596,263.5,1141.5,1583.5,553,5,2,0,0
lmo1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1142,0,0,0,2069,192,822,99,49,949,777,363,144,679,1071,398,2,1,0,1
lmo1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1144,0,0,0,950.5,66,407.5,61,19,378,344.5,164,59.5,289,442,177,0,0,0,1
lmo1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1146,0,0,0,1554.5,139,645.5,82,34,739,652.5,274,141.5,536,706,265,1,0,0,0
lmo1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1156,0,0,0,2491.5,220.5,1037,141,56,1133,1033,480.5,135,762.5,1245.5,436,1,1,0,1
lmo1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1158,0,0,0,715,56.5,274,40.5,17,329,302.5,152,47.5,242,375.5,124.5,1,1,0,0
lmo1159,0,0,0,540.5,58,223,34.5,12,244,220.5,85.5,43.5,161,278,103.5,1,0,0,0
lmo1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1161,0,0,0,1102,105,506,68,28,523,538.5,248,86,402,665,214,2,2,0,0
lmo1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1164,0,0,0,1560,158,666,66,35,723,676.5,299,146,495.5,849,297,1,0,0,0
lmo1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AckA2,0,0,0,1613.5,157.5,710,82.5,45,741.5,666,293,119,497,821,270.5,1,1,0,1
cobD,0,0,0,1518.5,134.5,549,71.5,44,622.5,616,270,121,519,738,239.5,0,0,0,0
lmo1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1172,0,0,0,1215,101,530,61,36,590,561,224,96,427,618,238,1,0,0,0
lmo1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1173,0,0,0,340,32,141,17,7,115,112,55,29,102,173,55,0,0,0,0
lmo1177,0,0,0,1155.5,102.5,472,72.5,27,518.5,494.5,176,78,317.5,559,220,0,1,0,0
lmo1178,0,0,0,1149.5,97.5,428,67.5,22,564.5,501.5,208,81,330.5,533,171,0,0,0,0
lmo1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1181,0,0,0,1159,103.5,456,52,34.5,474,499.5,231,73,378,568.5,221,0,1,0,0
lmo1182,0,0,0,1121.5,88.5,387,49.5,22.5,443,403,213,63,353.5,513,180.5,0,0,0,0
lmo1184,0,0,0,831,47,344,50,20,341.5,329.5,122,46,238.5,369.5,121.5,1,0,0,0
lmo1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1186,0,0,0,2019,188.5,848.5,122,47,977.5,883,365,150.5,700,960,316.5,1,0,0,0
lmo1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1187,0,0,0,494.5,28.5,180.5,30.5,9,172,193,62,22.5,147,212,66.5,0,0,0,0
lmo1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiD,0,0,0,1648,145,715,102,44,775,678,311,122,600,892,298,0,1,0,1
cbiE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbiL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1207,0,0,0,1235,101,505,61,25,530,476,229,95,440,693,228,1,1,0,0
cbiP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1213,0,0,0,911,85,317,42,13,328,337,124,52,310,362,124,1,0,0,0
lmo1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pheS,0,0,0,1720,161,712,87,41,771,780,318,134,624,833,279,2,0,0,3
pheT,0,0,0,287.5,27.5,118.5,14,8,126.5,112.5,48,25,81.5,141,48,0,0,0,0
lmo1223,0,0,0,1158.5,95,464.5,71.5,26.5,477.5,411.5,205.5,77.5,370,500.5,205,0,1,0,1
lmo1224,1,0,0,5710,420.5,2001,295.5,159.5,2257,2086,885.5,435.5,1694.5,2539.5,943,3,4,2,5
lmo1229,0,0,0,648,64,244,29,17,303,293,107,51,218,326,102,0,0,0,0
lmo1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racE,0,0,0,1253.5,121.5,445,68,45,557,479,224.5,88.5,421,580,195.5,1,1,0,0
lmo1238,0,0,0,1246.5,113.5,507,61,43,536,504,260.5,116.5,404,563,216.5,1,0,0,0
lmo1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1249,0,0,0,425,35.5,165,18,8.5,158.5,129,48,24,99.5,146.5,56.5,0,0,0,0
lmo1250,0,0,0,2102,181.5,802,101,59.5,909.5,782,296,147,642.5,943.5,309.5,0,0,0,0
lmo1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proA,0,0,0,323,25,124,8,7,110,131,56,41,119,161,55,0,1,0,0
proB,0,0,0,1782,125,675,107,59,728,629,306,137,603,778,277,0,3,0,0
proA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1270,0,0,0,497,31,165,33,9,181,170,83,40.5,153,192,90.5,0,0,0,0
lmo1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo1272,0,0,0,1635,144,721,74,35,707,630,247,132.5,569,769,293.5,2,0,0,0
rnhB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rnhB,0,0,0,394,22,114,12,7,139,149,63,19,102,163,48,0,1,0,0
lmo1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
