GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
lmo0126,0,0,0,1337,129,654,74,41,676.5,597.5,252,90.5,482.5,697.5,277,1,0,0,0
lmo0127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0128,0,0,0,1326,90,585,80,31,630.5,508.5,217,109.5,415.5,666.5,225,1,3,0,0
lmo0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0129,0,0,0,645,81,224,47,15,270.5,257,103,50,208,276,122,1,0,0,0
lmo0133,0,0,0,697.83,45.5,283.33,33,19.5,356.33,287.5,146,64.67,244.5,333.67,116.33,0,0.5,0,0
lmo0134,0,0,0,667.83,50,289.83,38,16.5,324.83,299.5,136,65.67,215.5,284.17,126.33,0,0.5,0,0
lmo0134,0,0,0,242.33,22.5,108.83,9,7,118.83,118,59,18.67,92,122.17,46.33,0,0,0,0
lmo0136,0,0,0,1706.5,110,704.5,98.5,45.5,838,692.5,326.5,127.5,559.5,837,295,0,0.5,0,1
lmo0137,0,0,0,1390.5,128.5,614.83,80.17,37,678.17,593.5,280.33,106.17,471.33,778.83,258,1,0.5,0,0
lmo0137,0,0,0,129.5,14,52.83,7.67,2,60.17,69,28.83,9.17,40.33,64.83,19.5,0,0,0,0
lmo0138,0,0,0,705.5,71.5,301.83,33.67,10.5,306.67,280,141.33,62.17,209.83,355.33,135.5,1,1,0,0
lmo0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0141,0,0,0,1181,85,351,53,15,395,428,168,75,389,420,172,1,0,0,0
lmo0147,0,0,0,1571.5,109,461,74,35,531.5,527.5,238,107,482.5,591.5,250.5,0,3,0,2
lmo0148,0,0,0,778.5,48,233,43,21,278.5,244.5,110,43,209.5,298.5,140.5,0,0,0,0
lmo0153,0,0,0,2234.5,164,876.5,139.5,51.5,955.5,916,372.5,111.5,706.5,999.5,336.5,0,0,0,1
lmo0154,0,0,0,1691.5,152,653.5,94.5,29.5,780.5,690,326.5,104.5,547.5,809.5,265.5,1,0,0,0
lmo0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0162,0,0,0,2016,188,898,139,69,992,888,387,153,690,1009,347,3,0,1,0
lmo0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0164,0,0,0,952,61,378,50.5,20.5,452.5,419.5,194,75.5,334,467,173,2,0,0,0
lmo0165,0,1,0,1386,101,654,99.5,33.5,693.5,632.5,241,90.5,489,679,287,1,1,0,0
lmo0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0167,0,0,0,434,39,197,31,13,189,154,75,30,139,217,60,0,0,0,0
lmo0174,0,0,0,1439,112,503,79,27,522,471,188,63,401,560,237,0,0,0,0
lmo0179,0,0,0,2109,174,845,125,64,848,926,315,148,607,928,325,0,0,0,0
lmo0180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0182,2,0,0,5861,495,2475,324,147,2714,2424,1051,417,1865,2891,1050,4,1,0,2
lmo0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0187,0,0,0,1442,114,586,82,37,654,649,302,121,479,776,254,0,1,0,1
ksgA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0194,0,0,0,1841,176,764,102,58,866,792,302,160,614,792,262,1,1,1,2
lmo0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0195,0,0,0,529,51,186,20,25,214,203,68,27,162,226,107,2,1,0,0
sul,0,0,0,1695.5,141,753.5,78,45,810.5,666.5,272,143.5,513,812.5,279,0,0,0,0
folA,0,0,0,913.5,72,343.5,71,27,461.5,393.5,139,70.5,285,377.5,156,1,0,0,0
folK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0229,0,0,0,1608,109.5,536,108.5,37.5,633.5,552,247.5,121.5,489.5,626,259,1,1,0,1
lmo0230,0,0,0,2035,148.5,802,116.5,49.5,855.5,791,364.5,184.5,618.5,789,329,1,0,0,1
lmo0231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0235,0,0,0,2006,169,913,131,160,1081,946,438,310,826,929,389,3,1,0,0
lmo0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
