"","logFC","logCPM","PValue","FDR"
"ENSG00000226377",4.46794220661647,2.57442148822091,7.5397382391826e-24,1.72810800442065e-19
"ENSG00000204389",2.98997643201215,3.75682330923359,3.84408536907454e-20,4.40532183295942e-16
"ENSG00000239808",4.22279580204772,0.259751291294308,2.91375433245986e-19,2.22610830999933e-15
"ENSG00000171421",2.86698398192084,1.8567255089214,6.55417807590039e-19,3.75554403749093e-15
"ENSG00000204388",2.90218609851326,3.47912489819153,2.21445186238418e-17,1.01510473371691e-13
"ENSG00000229644",2.82990849173981,1.02527051187242,3.06230651728003e-13,1.16980108960097e-09
"ENSG00000246422",2.2848886994284,1.15459497155821,3.00022472667055e-12,9.82359296218416e-09
"ENSG00000170345",2.4611946551752,2.86159370585425,3.49753219531668e-12,1.00204297395823e-08
"ENSG00000277209",2.37473213321959,3.8910943994318,7.63962837240705e-11,1.92614373237301e-07
"ENSG00000259001",2.3667076602472,3.89529007624648,8.40376846585084e-11,1.92614373237301e-07
"ENSG00000163659",2.32216855991784,5.45230609719639,1.22329180349402e-10,2.54889528509845e-07
"ENSG00000198242",2.58705713962937,5.71199972742711,1.76720838053551e-10,3.13471672978748e-07
"ENSG00000228598",2.17475307347909,1.42199137591118,1.77798069316044e-10,3.13471672978748e-07
"ENSG00000205189",1.71624893386713,3.91171370340286,2.97179953115875e-10,4.86526037529705e-07
"ENSG00000180667",2.09777978431476,1.51661701147692,1.19274959510616e-09,1.82252138132222e-06
"ENSG00000006625",2.49146259126906,1.57805885658485,2.18328506540247e-09,3.12755585618904e-06
"ENSG00000126524",1.75371567554899,2.63603133424672,7.15699967478897e-09,9.62751365559646e-06
"ENSG00000230202",2.09793991430742,1.01906131563665,7.56087459863596e-09,9.62751365559646e-06
"ENSG00000186480",2.08126464498759,4.61770816962898,9.14255960931981e-09,1.10288140129268e-05
"ENSG00000120837",1.58763738530577,2.50508193394936,9.98135310520679e-09,1.14063671571573e-05
"ENSG00000086544",1.58741285268178,4.34597023840037,1.04508599607462e-08,1.14063671571573e-05
"ENSG00000264577",1.96845298439097,2.98928717011108,1.49246322295515e-08,1.55487532136964e-05
"ENSG00000233144",2.18821150204649,0.369379810536075,2.09198796302684e-08,2.02637189044521e-05
"ENSG00000116791",1.8905476447404,3.35406078384131,2.12185538266514e-08,2.02637189044521e-05
"ENSG00000257315",2.50328733089952,2.30711422005719,3.30460295302602e-08,3.02965998733425e-05
"ENSG00000110700",2.26873657525209,5.64510112102976,4.74938850686043e-08,4.1867686375862e-05
"ENSG00000249870",1.57405906482411,3.69083496775585,7.71825182321233e-08,6.55193821437135e-05
"ENSG00000105835",2.18652289043821,4.9839689699356,1.28775310204319e-07,0.000103900977627793
"ENSG00000088827",-1.70972481629728,2.40529826498702,1.31462842548255e-07,0.000103900977627793
"ENSG00000269888",2.27071847482712,1.01122673385152,1.37436629253083e-07,0.000105001584749356
"ENSG00000072163",-1.54994692125314,3.23937379276338,1.54996583478435e-07,0.000114597473978249
"ENSG00000234851",2.27847320549909,1.00959708593785,1.77386246588938e-07,0.000123499815155887
"ENSG00000139567",-1.69311735001565,1.98027409982618,1.77813869988842e-07,0.000123499815155887
"ENSG00000278615",1.8702889539374,0.624183131330187,1.89898137756045e-07,0.000128013685804957
"ENSG00000116717",2.17417386877757,2.29998170384043,2.10148588118864e-07,0.000136113834489746
"ENSG00000164611",1.56742243558928,1.25781741387578,2.13791363072899e-07,0.000136113834489746
"ENSG00000164023",1.36557275079978,4.23390792817854,2.27047216939932e-07,0.000140646546277385
"ENSG00000119801",1.53714038932996,2.59079305617157,2.35231980571596e-07,0.000141882026176341
"ENSG00000131747",1.72230267966463,3.92487369471221,2.64788434781211e-07,0.0001539192409666
"ENSG00000120694",1.70313181026482,3.73448848566228,2.81496954637122e-07,0.0001539192409666
"ENSG00000169813",2.10042189955415,5.6944832555754,2.85448673202472e-07,0.0001539192409666
"ENSG00000120129",1.8820303301358,1.68944821892141,2.90795185544037e-07,0.0001539192409666
"ENSG00000162728",-1.76505984695253,0.613537763127679,2.94540509160054e-07,0.0001539192409666
"ENSG00000229370",1.42186536524605,3.77907374753932,2.97354976229615e-07,0.0001539192409666
"ENSG00000101843",2.12610444427403,1.68622387144658,3.02384969766056e-07,0.0001539192409666
"ENSG00000135535",2.24192029994731,5.49701545359454,3.13132147369365e-07,0.0001539192409666
"ENSG00000139329",1.80228069630013,2.02114550596276,3.15628460969905e-07,0.0001539192409666
"ENSG00000111912",1.49592973462453,5.42663026269705,3.36828659728072e-07,0.000160835685020154
"ENSG00000136527",1.9885405756659,4.64391494526073,3.70342147276166e-07,0.000173229428889178
"ENSG00000258344",1.94145934711326,5.66145417596961,4.32515706374741e-07,0.000198265199802181
"ENSG00000126945",2.10933553010756,2.5588241459223,5.84469946324494e-07,0.000262667669995243
"ENSG00000197894",1.7030678713596,3.35279855526559,6.48389239558237e-07,0.000285790026359131
"ENSG00000274376",-1.55774390585932,2.14690762889386,6.76880093209413e-07,0.000287562711580566
"ENSG00000233016",1.81542405544774,3.83862375514625,6.80099536337671e-07,0.000287562711580566
"ENSG00000267280",-1.48804180798703,1.35302115383101,6.93128263007775e-07,0.000287562711580566
"ENSG00000189266",2.04101521997655,3.19325432289836,7.02596502989166e-07,0.000287562711580566
"ENSG00000103154",-1.49410892362112,2.86589199949513,7.77142738546868e-07,0.000312493185394635
"ENSG00000197147",1.21565941318772,3.32594200439697,8.12953358914442e-07,0.000321256741143431
"ENSG00000114529",1.45051948370381,4.34726242442611,8.7212593921848e-07,0.000338798754693009
"ENSG00000135835",-1.48399355350875,2.39156263286702,9.75007577528456e-07,0.00037245289461587
"ENSG00000135486",2.32480086658327,5.5071714361541,1.00685931994052e-06,0.000378315010049784
"ENSG00000253719",1.70015972357832,2.27004269382027,1.30723293250129e-06,0.000476875914349333
"ENSG00000232396",-1.70879497531716,1.25076994616658,1.3107845813267e-06,0.000476875914349333
"ENSG00000265972",2.22695225352522,5.09672877404,1.34258609927787e-06,0.000480813646803886
"ENSG00000258584",-1.48226936881984,0.960751689473227,1.53641952269327e-06,0.000541765160925072
"ENSG00000007314",-1.362563462939,2.99133445559679,1.63382959677023e-06,0.000567384459969297
"ENSG00000141750",-1.53059935443158,1.76694681676741,1.80154154961854e-06,0.00061628854204861
