"","logFC","logCPM","PValue","FDR"
"994",13.1741895821621,15.3321972027062,2.08416679719352e-13,1.47767425921021e-10
"26",12.7683537854808,14.9568943352288,6.29162779469037e-12,2.23038205321774e-09
"38",4.63888270580226,15.8246659369547,6.74179302455509e-11,1.59331041813652e-08
"1138",12.55466741919,14.7565262594226,1.03791215228112e-10,1.83969928991828e-08
"1177",12.4088429951282,14.6204500835586,1.45843704084447e-10,1.94669269077969e-08
"1193",12.4072686213145,14.6190892385367,1.64741271434107e-10,1.94669269077969e-08
"1212",12.4184851847784,14.6296501129679,2.75465294564366e-10,2.57096313783288e-08
"1056",12.3324474567122,14.5485760976678,2.90094571264641e-10,2.57096313783288e-08
"1214",12.2516550064647,14.4723005976885,8.43734005445735e-10,6.40180342190982e-08
"24",12.5687151746439,14.7678778356584,9.02934192088833e-10,6.40180342190982e-08
"1175",12.1852650955868,14.4095641887999,1.82573915895182e-09,1.17677187608804e-07
"1172",12.4454543172971,14.6526591354299,2.21246717137904e-09,1.30719935375645e-07
"1174",12.088812169726,14.318418216066,2.89101309661573e-09,1.57671406576966e-07
"1217",12.0213707318005,14.2541084532607,4.02800277786346e-09,1.93412877442431e-07
"123",12.0024077193326,14.2364988961988,4.09195086267484e-09,1.93412877442431e-07
"1210",11.9958630661543,14.2294424955363,4.95876042167647e-09,2.19735071185539e-07
"1091",12.056697645926,14.2877105096799,8.01249077656387e-09,3.25500637132295e-07
"656",11.8896251133872,14.1291144955415,8.26376793847858e-09,3.25500637132295e-07
"185",11.8960297259015,14.1344238219947,9.81657579503603e-09,3.66313275720029e-07
"129",11.8642021206276,14.1052249059241,1.04311171531912e-08,3.69783103080629e-07
"244",11.9443804005815,14.1804580036822,1.17776907198211e-08,3.9763727239777e-07
"872",11.9671441695585,14.2025653930408,1.40772360578297e-08,4.18651769137967e-07
"488",11.796297828112,14.0405322460433,1.40827940654357e-08,4.18651769137967e-07
"287",11.8337452693194,14.0749204986132,1.42375596366371e-08,4.18651769137967e-07
"214",11.8019027361577,14.0458477580047,1.47620510979537e-08,4.18651769137967e-07
