"","logFC","logCPM","PValue","FDR"
"1253",-11.7640366591567,11.5628518223376,9.94273534961439e-09,4.14341514793591e-06
"1240",-11.6483674051648,11.4524953547776,1.59387739339236e-08,4.14341514793591e-06
"269",-11.6258780708031,11.4303154686076,1.75905264675912e-08,4.14341514793591e-06
"1249",-11.4803471865149,11.2903242027927,2.72974810971693e-08,4.14341514793591e-06
"699",-11.4558236991146,11.2687940201517,3.8107246576319e-08,4.14341514793591e-06
"565",-11.3484556215186,11.1633262551386,3.94412109859994e-08,4.14341514793591e-06
"415",-11.3480089501236,11.1673083496487,4.38395003915172e-08,4.14341514793591e-06
"748",-11.2983839940132,11.12019277492,5.68325150716128e-08,4.14341514793591e-06
"1133",-11.3240763284835,11.1374619521216,6.28439060096015e-08,4.14341514793591e-06
"164",-11.405825923707,11.2172778946371,6.29990034687668e-08,4.14341514793591e-06
"673",-11.2780132016553,11.1013600931948,6.42842970765797e-08,4.14341514793591e-06
"944",-11.2372380225939,11.0525708713385,1.22595098832541e-07,7.24332708935598e-06
"93",-11.1674712254672,10.9916175664451,1.3542244028643e-07,7.38573155100609e-06
"664",-11.3903286523885,11.2080738045543,1.57778234010523e-07,7.4709039332543e-06
"551",-11.1781698366002,10.9998227991045,1.580586163594e-07,7.4709039332543e-06
"835",-11.2091674422063,11.0251598171695,1.79920590711547e-07,7.97273117590544e-06
"817",-11.0821013281058,10.9067620297725,2.34917173811421e-07,9.79742801366456e-06
"22",-11.155734662909,10.9774070013504,3.52352056153239e-07,1.38787559895915e-05
"803",-10.9564910640568,10.7959580934954,3.91773940713598e-07,1.46193538929443e-05
"453",-10.9176946171547,10.7543943427421,4.24832446103546e-07,1.47275407616039e-05
"619",-10.9623973032156,10.7992210103497,4.36217709441019e-07,1.47275407616039e-05
"103",-10.9838843324104,10.8216941001313,6.01857483314189e-07,1.933123127582e-05
"445",-11.3421771102923,11.1567056132855,6.27106233207136e-07,1.933123127582e-05
"801",-10.9426227415241,10.7601383658263,9.35040222310453e-07,2.76226465674213e-05
"1096",-10.9059516029724,10.7271197709843,1.1348624653993e-06,3.21846995187242e-05
"15",-10.9536592242411,10.7738943123617,1.18642957869708e-06,3.2353021972932e-05
"24",-3.70831813498319,12.5129034859513,1.24853837827372e-06,3.27856929702247e-05
"431",-10.7909843300497,10.6378860031091,1.45709167797776e-06,3.65732989427914e-05
"509",-10.8480712310433,10.6822710094657,1.49594593701121e-06,3.65732989427914e-05
"484",-10.7768726608673,10.6318717994452,2.25709417813068e-06,5.33426590764885e-05
"427",-10.8332015009033,10.6531422281577,2.9724867055068e-06,6.79836475549781e-05
"323",-10.7391502468118,10.5662577320182,3.85854484149942e-06,8.54908841444715e-05
"315",-10.7439544153986,10.5712125996656,3.98457576056733e-06,8.5608006492189e-05
