"","logFC","logCPM","PValue","FDR"
"1253",-12.375934250897,11.7076292827369,1.36327660538703e-11,9.63836560008634e-09
"1240",-12.1841455735073,11.5164713194522,4.08386611359495e-10,1.15467270068839e-07
"269",-12.1745487852689,11.5029516226964,4.89960127590547e-10,1.15467270068839e-07
"1249",-12.0729574785347,11.4103526734786,8.19119847648406e-10,1.44779433071856e-07
"164",-11.981891887737,11.3265235041914,1.39708328160526e-09,1.97547576018983e-07
"24",-3.53786605193026,12.4907788505284,1.83933302627726e-09,2.02295452759986e-07
"699",-12.0356998640568,11.3686987380457,2.00292527485134e-09,2.02295452759986e-07
"415",-11.8336270251777,11.1757768949561,1.08487325901965e-08,9.58756742658614e-07
"93",-11.8658906821134,11.2026150133135,1.51342446281702e-08,1.18887899467959e-06
"1133",-11.9015782777107,11.2298261181667,2.09378645777193e-08,1.48030702564475e-06
"34",-3.25821963214085,12.2188135624076,2.33812700682581e-08,1.50277799438713e-06
"565",-11.8345850323427,11.1671033492023,3.17916652693803e-08,1.87305894545432e-06
"551",-11.8100902266233,11.1429785829448,3.93010111819029e-08,2.13737037735426e-06
"664",-11.7508415276493,11.0843028462174,6.01342733679934e-08,3.03678080508366e-06
"748",-11.7705680654351,11.0995855508018,8.29827247115575e-08,3.91125242473808e-06
"835",-11.6874389852969,11.0233466218268,9.53177064600411e-08,4.21185115420307e-06
"673",-11.7437336163444,11.0745729653898,1.0309156212664e-07,4.28739614256087e-06
"944",-11.70327790895,11.031557558893,1.2576097113634e-07,4.74620047578771e-06
"801",-11.5866645358275,10.9312449818177,1.33701833831837e-07,4.74620047578771e-06
"445",-11.595182869113,10.9378568437557,1.34263096910543e-07,4.74620047578771e-06
"22",-11.661403314376,10.9966773061728,1.54048094371979e-07,5.18628584385663e-06
"619",-11.5406879455458,10.8855452442018,2.15844837890317e-07,6.9364681994752e-06
"1096",-11.4800177599328,10.8257561991703,2.53961310654498e-07,7.80654985359696e-06
"817",-11.6130973581302,10.94665259806,4.25221885672485e-07,1.25263280487686e-05
"15",-11.5043844799095,10.8449920662618,4.68425776639853e-07,1.3247080963375e-05
"453",-11.4679921056502,10.8066564776144,5.94684474528605e-07,1.61708432112202e-05
"323",-11.5120224499725,10.8494804234407,6.18669320987888e-07,1.61999707384606e-05
"103",-11.5617076240827,10.8910347280214,6.57079938070953e-07,1.65912684362916e-05
"484",-11.3884796669355,10.7337098427508,7.22243572148961e-07,1.76078001899764e-05
"1202",-2.04562101228962,12.0134264365512,1.34547344252233e-06,3.17083241287763e-05
"158",-2.73275011573614,11.708095747548,1.41004890884853e-06,3.2158212211481e-05
"339",-11.3005533085104,10.6476231263369,1.55499639316085e-06,3.43557015613975e-05
"803",-11.3210624179186,10.6696405539528,1.62684757158878e-06,3.48539767610082e-05
"334",-11.3064294017503,10.6452116241732,2.0701901807138e-06,4.30477781695486e-05
"118",-11.1560305671523,10.5027772146303,3.38477167276179e-06,6.83723877897881e-05
"509",-11.3232925526383,10.6625702736587,3.78462332815966e-06,7.43257970280245e-05
"427",-11.3654979183661,10.700990561741,3.90187954336616e-06,7.45575361394561e-05
"211",-2.73000501376272,11.6991392944529,4.2102405429136e-06,7.83326332589451e-05
"169",-11.0787817337387,10.4364599529594,4.42058261309405e-06,8.01372283963459e-05
"896",-11.1377878596036,10.489464305777,4.54840327647388e-06,8.03930279116758e-05
"431",-11.3107804973461,10.6461136070124,5.0056645729263e-06,8.42659026447708e-05
"667",-11.3110987891566,10.645660144176,5.00589520662005e-06,8.42659026447708e-05
"129",-2.86008790872366,11.822798963819,5.23450650891759e-06,8.5730001191832e-05
"764",-2.62058704401165,11.5957076599077,5.3353890416416e-06,8.5730001191832e-05
"92",-11.2254643945386,10.567197101079,6.37536608261454e-06,0.000100164084897966
"930",-3.44518661963034,11.4242851958188,7.19093380153862e-06,0.000110521526036691
"825",-2.58238357203399,11.5585152528048,1.11975066591189e-05,0.000168439089531852
"947",-1.01247672841951,11.9966243667545,1.14881293814444e-05,0.000169210572347525
"315",-11.1128811010833,10.4529920751616,1.38829547424043e-05,0.000200311204140405
"627",-11.1550535953563,10.4911814454155,1.4204736720632e-05,0.000200854977229736
"56",-10.9349833544957,10.2884576134451,1.72645249981443e-05,0.000235024400090018
"189",-10.9307372746284,10.2855814990293,1.72860944903549e-05,0.000235024400090018
"258",-11.1180876927606,10.4607431852925,1.90298022738145e-05,0.000253850381275224
"1144",-1.31225204533262,11.3247986526401,2.494494911393e-05,0.000326594055991639
"515",-10.9606054256005,10.3094981489435,3.1895541742835e-05,0.000397921383082758
"413",-10.9476513175167,10.2981415003224,3.20434961882464e-05,0.000397921383082758
"776",-11.0479449319402,10.3877677971925,3.20813562032776e-05,0.000397921383082758
"651",-11.0644786951769,10.4078783463251,3.28712562349498e-05,0.000400689278588095
"874",-10.7508146784127,10.1057954628989,3.80764909269074e-05,0.00045627252686989
"474",-10.9641664857398,10.3120801449012,4.22990966822065e-05,0.000493479671740703
"285",-10.9475637431179,10.2953748307129,4.25774539974298e-05,0.000493479671740703
"705",-10.7420070495669,10.0959766667571,5.13786413241693e-05,0.000577458609361692
"632",-10.7374992552946,10.0921546418279,5.14567077649033e-05,0.000577458609361692
"410",-2.41266860839859,11.3874967542381,5.53450737078599e-05,0.000611390111116515
"139",-2.32170758779273,11.3013330143289,5.99556129414106e-05,0.000652132589993497
"266",-1.91702679255052,11.4769849875742,6.68963633249327e-05,0.000716601952586779
"1003",-10.7303329517701,10.0846434032805,6.92007648539302e-05,0.000730222996294457
"728",-10.8572799507752,10.204949277851,7.21921482908279e-05,0.000749481369029277
"346",-1.64588830884008,11.6176264766826,7.3145989339491e-05,0.000749481369029277
"1152",-2.08829381848406,11.0860242835826,7.62959150926199e-05,0.000770588742435461
"1236",-1.59021694706696,11.5661113199728,7.86965381810413e-05,0.000783640175971778
"815",-2.32538028681974,11.3026760674582,8.72909815792065e-05,0.000857148944118042
"649",-10.8857422334311,10.2259875624286,9.51693705245805e-05,0.000909628907045325
"1255",-10.77271301393,10.1238971303402,9.52086833399633e-05,0.000909628907045325
"568",-10.90961142101,10.2529291432863,9.72265060078972e-05,0.000909696673152003
"174",-10.9734618314959,10.3109023088818,9.77891756146425e-05,0.000909696673152003
"1038",-2.29329855036418,11.2698975465823,0.000110797140704973,0.00101731920101839
"1212",-1.7493317954017,12.7046302419687,0.000116950829137259,0.00104762833743196
"1120",-2.38642382790712,11.3574468093155,0.000117061723701733,0.00104762833743196
"336",-1.58934139458071,11.5602082768903,0.000129131812092249,0.00114120238936525
