"number","logFC","logCPM","PValue","FDR","GeneID"
"1",10.3254485916665,12.1029369255559,0.00358636997092524,0.00511202332549223,"lmo0004"
"10",11.0717961820175,12.8464930561613,0.000103003460707046,0.000244373982281482,"lmo0021"
"100",1.83966090478576,13.2858803424211,0.00261823179477861,0.00385643724772599,"lmo0194"
"1000",9.12291603557001,10.9242505771138,0.117119882641654,0.125651426826194,"lmo2293"
"1003",10.5367644685788,12.3154141979482,0.0017904967666592,0.00275191568266968,"lmo2295"
"1005",1.33527113681731,12.7752870736056,0.0289971753455081,0.0349846467052461,"lmo2297"
"1007",12.1083207726546,13.8539861471773,1.23098470870077e-07,1.0878827363143e-06,"lmo2299"
"1009",11.6002686937245,13.3664274399206,1.88575125486362e-06,1.00701470499894e-05,"lmo2301"
"1012",0.382310904277008,11.8454142838619,0.239475030463979,0.246446647071373,"lmo2307"
"1014",10.2212367419788,11.9963827402598,0.00301757331150597,0.00440316242259454,"lmo2309"
"102",9.59914255477599,11.3849198028393,0.0545873631763459,0.062389414938207,"lmo0195"
"1022",11.7526635985556,13.5007130636678,4.39529462029467e-06,2.00482148164409e-05,"lmo2317"
"1025",10.1905940757549,11.9605210768307,0.010252142291647,0.013275209890466,"lmo2320"
"1027",11.2426204809299,13.0023510485643,9.66050066040279e-05,0.000233104913546238,"lmo2323"
"103",11.3668282381773,13.1216881626074,8.42888217796635e-05,0.000210573134269336,"sul"
"1030",10.5762586760659,12.3469986171987,0.00137505915744351,0.00218788680843517,"lmo2326"
"1032",12.1325944937431,13.8829414417417,4.54579227936437e-08,5.44724600256035e-07,"int"
"1033",9.48980130804759,11.2893729732412,0.0202445698033554,0.0251987867094582,"'comK"
"1035",11.3651504175609,13.1277605220868,2.3044621318369e-05,7.55842026413954e-05,"lmo2337"
"1037",-0.184651350422451,11.2853204998266,0.722398631240039,0.725477034498164,"lmo2340"
"1038",2.05955884632229,13.5008528394431,0.000662138219299221,0.00114178468547451,"lmo2341"
"104",10.4830603762717,12.2594231404806,0.0010133969980637,0.00168581571207303,"folA"
"1040",9.26723397517703,11.0629442589531,0.081242572345971,0.0900289947470243,"lmo2343"
"1044",11.0951061331892,12.8532839573701,0.000225204561563148,0.000457575478915591,"lmo2347"
"1046",10.6176830231923,12.3846032677416,0.00177905098500531,0.00274028114683824,"lmo2350"
"1047",10.4721148304268,12.2454987458212,0.00219758245018864,0.00328475854605363,"lmo2351"
